Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Facebook 360,2022-12-11 07:17:56.288659792,3413752,-0.07%,3513191,-0.09%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2022-12-16 22:45:46.391752576,178844475,0.65%,178881924,0.66%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketplace Community,2022-12-22 14:13:36.494845360,19346817,0.26%,21781920,0.26%,10,9288,-10.93%,0%,928.8,2237,724,6327,5827,9,46,7,6,413,5,5535,0.01%,0,0,,0,0,,5,3753,0.00%,0,0,
Facebook Gaming,2022-12-28 05:41:26.597938144,10647955,0.02%,12920377,0.10%,10,4757,-23.24%,0%,475.7,1247,246,3264,2780,23,25,15,2,379,5,1433,0.00%,3,1239,0.00%,0,0,,1,538,0.01%,1,1547,0.01%
Facebook,2023-01-02 21:09:16.701030928,178871216,0.66%,183278383,0.66%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Security,2023-01-08 12:37:06.804123712,9010352,0%,9115652,0.01%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-01-14 04:04:56.907216496,178871604,0.69%,179032970,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2023-01-19 19:32:47.010309280,460476,0.10%,590653,-0.02%,10,3723,-72.28%,0.06%,372.3,1410,163,2150,1755,4,3,4,1,343,2,925,0.10%,0,0,,0,0,,8,2798,0.08%,0,0,
Facebook Marketing Expert Reminder,2023-01-25 11:00:37.113402060,37032,2.32%,40011,2.28%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-01-31 02:28:27.216494844,178860283,0.67%,179182108,0.67%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-02-05 17:56:17.319587628,178857288,0.68%,178871851,0.69%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-02-11 09:24:07.422680412,178857619,0.65%,179434433,0.66%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Public Affairs,2023-02-17 00:51:57.525773196,7621,-0.16%,10256,0.32%,0,0,-100%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook for Creators,2023-02-22 16:19:47.628865976,1128664,15.22%,1190543,14.41%,40,99550,403.39%,0.21%,"2,488.75",22015,4033,73502,57293,24,121,324,32,14794,6,15616,0.23%,0,0,,0,0,,34,83934,0.22%,0,0,
Facebook Public Affairs,2023-02-28 07:47:37.731958760,7606,-0.20%,10292,0.35%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Cricket on Facebook,2023-03-05 23:15:27.835051544,18760052,-0.08%,18956558,-0.08%,27,5312,8.96%,0%,196.74,232,252,4828,4304,2,160,28,7,299,0,0,,0,0,,0,0,,27,5312,0.00%,0,0,
Facebook 360,2023-03-11 14:43:17.938144328,3411473,-0.07%,3510416,-0.08%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-03-17 06:11:08.041237112,177614053,-0.69%,177623049,-0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-03-22 21:38:58.144329896,177619402,-0.69%,177926432,-0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
